#TYPE System.Security.AccessControl.FileSystemAccessRule
".\Application Data","FileSystemRights","AccessControlType","IdentityReference","IsInherited","InheritanceFlags","PropagationFlags"
"I:\Usuarios\a.akhgar","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.akhgar","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.akhgar","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.akhgar","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.akhgar","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.barajas","Modify, Synchronize","Allow","DOMINIO\a.barajas","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.barajas","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.barajas","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.barajas","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.barajas","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.barajas","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bea","FullControl","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bea","FullControl","Allow","BUILTIN\Administrators","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bea","ReadAndExecute, Synchronize","Allow","DOMINIO\Admins. del dominio","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bea","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bea","FullControl","Allow","DOMINIO\a.bea","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bea","FullControl","Allow","DOMINIO\v.avanade","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bohorquez","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bohorquez","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bohorquez","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bohorquez","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bohorquez","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bujaldon","FullControl","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bujaldon","FullControl","Allow","BUILTIN\Administrators","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bujaldon","FullControl","Allow","DOMINIO\Admins. del dominio","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bujaldon","FullControl","Allow","DOMINIO\RICOH","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bujaldon","FullControl","Allow","DOMINIO\a.bujaldon","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bujaldon","FullControl","Allow","DOMINIO\u.kyocera","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bujaldon","FullControl","Allow","DOMINIO\v.avanade","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.canals","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.canals","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.canals","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.canals","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.canals","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carbonell","FullControl","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carbonell","FullControl","Allow","BUILTIN\Administrators","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carbonell","FullControl","Allow","DOMINIO\Admins. del dominio","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carbonell","FullControl","Allow","DOMINIO\Administradores de esquema","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carbonell","FullControl","Allow","DOMINIO\a.carbonell","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carbonell","FullControl","Allow","DOMINIO\v.avanade","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carnero","FullControl","Allow","DOMINIO\Administradores de esquema","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carnero","FullControl","Allow","DOMINIO\a.carnero","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carnero","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carnero","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carnero","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carnero","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carnero","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.cortesc","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.cortesc","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.cortesc","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.cortesc","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.cortesc","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.cubas","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.cubas","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.cubas","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.cubas","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.cubas","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.dejusto","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.dejusto","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.dejusto","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.dejusto","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.dejusto","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.delatorre","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.delatorre","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.delatorre","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.delatorre","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.delatorre","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.escandell","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.escandell","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.escandell","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.escandell","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.escandell","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.estorach","Modify, Synchronize","Allow","DOMINIO\a.estorach","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.estorach","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.estorach","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.estorach","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.estorach","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.estorach","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.fernandezt","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.fernandezt","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.fernandezt","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.fernandezt","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.fernandezt","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.garcia","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.garcia","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.garcia","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.garcia","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.garcia","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.gasull","Modify, Synchronize","Allow","DOMINIO\a.gasull","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.gasull","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.gasull","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.gasull","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.gasull","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.gasull","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.gili","Modify, Synchronize","Allow","DOMINIO\a.gili","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.gili","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.gili","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.gili","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.gili","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.gili","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.jones","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.jones","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.jones","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.jones","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.jones","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.jori","FullControl","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.jori","FullControl","Allow","BUILTIN\Administrators","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.jori","FullControl","Allow","DOMINIO\Admins. del dominio","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.jori","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.jori","FullControl","Allow","DOMINIO\a.jori","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.jori","FullControl","Allow","DOMINIO\v.avanade","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.just","Modify, Synchronize","Allow","DOMINIO\a.just","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.just","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.just","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.just","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.just","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.just","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.llevat","FullControl","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.llevat","FullControl","Allow","BUILTIN\Administrators","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.llevat","FullControl","Allow","DOMINIO\Admins. del dominio","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.llevat","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.llevat","Modify, Synchronize","Allow","DOMINIO\a.llevat","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.llevat","FullControl","Allow","DOMINIO\v.avanade","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.lozano","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.lozano","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.lozano","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.lozano","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.lozano","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.martinezh","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.martinezh","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.martinezh","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.martinezh","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.martinezh","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.masip","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.masip","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.masip","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.masip","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.masip","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.maspoch","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.maspoch","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.maspoch","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.maspoch","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.maspoch","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.mateu","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.mateu","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.mateu","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.mateu","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.mateu","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.pascual","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.pascual","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.pascual","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.pascual","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.pascual","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.pena","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.pena","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.pena","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.pena","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.pena","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.perez","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.perez","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.perez","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.perez","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.perez","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.pericas","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.pericas","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.pericas","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.pericas","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.pericas","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.porqueres","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.porqueres","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.porqueres","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.porqueres","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.porqueres","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.porteros","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.porteros","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.porteros","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.porteros","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.porteros","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.ramilo","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.ramilo","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.ramilo","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.ramilo","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.ramilo","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.ramos","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.ramos","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.ramos","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.ramos","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.ramos","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.roche","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.roche","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.roche","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.roche","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.roche","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.santacana","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.santacana","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.santacana","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.santacana","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.santacana","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.segarra","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.segarra","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.segarra","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.segarra","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.segarra","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.teixido","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.teixido","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.teixido","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.teixido","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.teixido","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.toledo","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.toledo","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.toledo","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.toledo","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.toledo","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.urroz","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.urroz","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.urroz","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.urroz","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.urroz","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.vidal","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.vidal","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.vidal","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
